tweet_id,company,date,username,text,replies,reposts,likes,bookmarks,views,comment_count,total_engagement,main_sentiment,avg_comment_sentiment
1895323042286567440,samsung,2025-04-18,SamsungMobile,series offers enhanced convenience on the series,33,31,273,12,37166,9,349,0.1,0.048007856341189675
1896062921077375472,samsung,2025-04-18,SamsungMobile,samsung marks a step forward with ai for everyone by introducing the new g g and g,101,60,484,21,51976,54,666,0.13636363636363635,0.018685123881202314
1907405936110776355,samsung,2025-04-18,SamsungMobile,samsung announced the new fe and galaxy tab s fe see how the new galaxy tab s fe series boosts your everyday tasks with intelligent features that come to life with stunning clarity on a big vibrant screen,42,34,286,5,43042,45,367,0.21991341991341992,0.08491133557800225
1909598818976608442,samsung,2025-04-18,SamsungMobile,samsung and collaborate to advance sleep apnea detection and beyond,122,32,268,15,42926,121,437,0.0,0.05217527881722797
1897050446113747118,apple,2025-04-09,theapplehub,old vs new,396,520,8719,339,583960,404,9974,0.11818181818181818,0.0888121856753186
1897287137604817350,apple,2025-04-09,theapplehub,apple has launched the new m macbook air with a new sky blue color now starting at you can order today and will be available on march,128,962,9243,569,544875,188,10902,0.13454545454545455,0.07404949453955136
1897297936473841895,apple,2025-04-09,theapplehub,apple has officially discontinued the m and m macbook air,72,222,4196,144,289593,66,4634,0.0,0.08672572499185402
1899137596342915423,apple,2025-04-09,theapplehub,its going to be a big year for the iphone,333,318,5595,298,460941,439,6544,0.0,-0.05066793396651589
1899324377222754798,apple,2025-04-09,theapplehub,ios will reportedly introduce the biggest design change since ios source,293,597,8289,403,530534,444,9582,0.0,0.07825016127002109
1900268631302561880,apple,2025-04-09,theapplehub,what is your iphones battery health,1267,589,6520,477,1860519,281,8853,0.0,0.07233247550170627
1900644023263785029,apple,2025-04-09,theapplehub,how many apple watch models have you owned,723,672,5873,690,597296,432,7958,0.5,0.1097018030513176
1901104788986884366,apple,2025-04-09,theapplehub,iphone users would you ever switch to an android phone,1974,442,6896,469,971636,458,9781,0.0,0.05430377420293444
1901366641205883040,apple,2025-04-09,theapplehub,iphone air latest details would you buy one source,483,580,6245,607,618248,372,7915,0.5,0.07030935096535391
1902070769057984962,apple,2025-04-09,theapplehub,iphone pro latest details and sizes a chip nm gb of ram new rectangular camera design three mp rear cameras source analyst jeff pu,314,685,8209,653,632780,372,9861,0.3181818181818182,0.03498465265109287
1902821171281924441,apple,2025-04-09,theapplehub,apple is reportedly losing billion annually on apple tv are you subscribed to apple tv source,372,187,3502,172,371405,441,4233,0.0,0.13667031252500358
1904599592739787142,apple,2025-04-09,theapplehub,apple has officially announced set to start on june apple is expected to introduce ios at the event,76,457,4960,183,250694,151,5676,-0.1,0.18335671462487044
1905416454033534977,apple,2025-04-09,theapplehub,iphone pro vs the rumored iphone pro design,225,387,5508,327,472330,302,6447,0.0,-0.01147979486988107
1905530532047593835,apple,2025-04-09,theapplehub,what new features do you want to see in ios,457,217,4898,151,414889,348,5723,0.13636363636363635,0.09472856904999762
1906767774351077666,apple,2025-04-09,theapplehub,these are the new emoji available today with ios which one is your favorite,272,629,5847,352,444019,203,7100,0.34545454545454546,0.05615034030140982
1906886073839743256,apple,2025-04-09,theapplehub,ios will reportedly support these iphone models the iphone xs iphone xs max and iphone xr will not be supported,468,2717,18287,1168,1315012,344,22640,0.0,0.08747346058749568
1907100695549059510,apple,2025-04-09,theapplehub,today apple has introduced a new sky blue color for the iphone pro and iphone pro max you can order the new color on april th and will be available on april th now make sure to check the alttext on the image,254,702,7465,459,536153,101,8880,0.2595454545454546,0.11086933356287992
1908308060239786068,apple,2025-04-09,theapplehub,iphones could soon cost up to in the us due to tariffs iphone prices could rise by meaning the base iphone model could start at and the most expensive iphone pro max model could cost up to source,431,1130,7690,669,1407193,317,9920,-0.23125,0.11963341248123854
1908894708929348082,apple,2025-04-09,theapplehub,the iphone pro will reportedly not feature a particularly bold new look the front will be quite similar to the pro however the back will feature a new larger camera design source,152,310,4085,297,318263,253,4844,0.101010101010101,0.04490822752329028
1908903287568347542,apple,2025-04-09,theapplehub,apple is reportedly working on a major th anniversary redesign for the iphone pro alongside a foldable iphone the new design will make a more extensive use of glass source,115,159,2850,206,199445,169,3330,0.13977272727272727,0.06823719387462286
1909525124652712408,apple,2025-04-09,theapplehub,this is allegedly our first look at the new ios design do you like the new design source,458,535,6847,661,433457,284,8501,0.10568181818181818,0.031535712964284396
1909615214754250808,apple,2025-04-09,theapplehub,the iphone pro models will reportedly feature the ability to record front and rearfacing video at the same time the feature is expected to be exclusive to the iphone pro models source,164,285,4375,263,259335,310,5087,-0.05,0.09470360660780483
1909653502126965241,apple,2025-04-09,theapplehub,is your iphones battery life better or worse with ios,553,213,5226,196,461940,453,6188,0.04999999999999999,0.001964485418689202
1909687808060711266,apple,2025-04-09,theapplehub,president trump believes apple could manufacture iphones in the us according to press secretary karoline leavitt should apple manufacture iphones in the us,341,195,2557,139,298311,444,3232,0.0,0.11168069513952565
1899324377222754798,apple,2025-04-10,theapplehub,ios will reportedly introduce the biggest design change since ios source,293,597,8296,402,530676,338,9588,0.0,0.09513472693861916
1900268631302561880,apple,2025-04-10,theapplehub,what is your iphones battery health,1266,589,6533,477,1860869,286,8865,0.0,0.055244864501409
1900644023263785029,apple,2025-04-10,theapplehub,how many apple watch models have you owned,724,672,5882,689,597447,432,7967,0.5,0.09377904435386188
1901104788986884366,apple,2025-04-10,theapplehub,iphone users would you ever switch to an android phone,1975,444,6899,468,971832,447,9786,0.0,0.07913477976936784
1901366641205883040,apple,2025-04-10,theapplehub,iphone air latest details would you buy one source,483,580,6251,606,618455,372,7920,0.5,0.060805872708574515
1902070769057984962,apple,2025-04-10,theapplehub,iphone pro latest details and sizes a chip nm gb of ram new rectangular camera design three mp rear cameras source analyst jeff pu,315,684,8212,650,633097,369,9861,0.3181818181818182,0.019716362991156377
1902821171281924441,apple,2025-04-10,theapplehub,apple is reportedly losing billion annually on apple tv are you subscribed to apple tv source,373,187,3501,171,371664,446,4232,0.0,0.1487359217579806
1904599592739787142,apple,2025-04-10,theapplehub,apple has officially announced set to start on june apple is expected to introduce ios at the event,76,457,4962,183,251006,152,5678,-0.1,0.18609547885826294
1905416454033534977,apple,2025-04-10,theapplehub,iphone pro vs the rumored iphone pro design,225,389,5509,327,472745,344,6450,0.0,-0.013374877366874314
1905530532047593835,apple,2025-04-10,theapplehub,what new features do you want to see in ios,457,217,4896,150,415242,456,5720,0.13636363636363635,0.09506603344159148
